# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.2

furniture::item::nested.furniture.testid, boolean, 01
furniture::item::nested.furniture.testid::description::1, string, 8021D0A2D0B5D181D182D0BED0B2D0BED0B520D0BED0BFD0B8D181D0B0D0BDD0B8D0B5
furniture::item::nested.furniture.testid::dimensions, string, 8003317832
furniture::item::nested.furniture.testid::modeldata, integer, 00000064
furniture::item::nested.furniture.testid::name, string, 801DD09AD180D183D182D0BED0B520D0BDD0B0D0B7D0B2D0B0D0BDD0B8D0B5
furniture::item::nested.furniture.testid::traits::1, string, 800A69735369747461626C65
furniture::item::nested.furniture.testid::traits::2, string, 8009697353746F72616765
furniture::shop::nested.shopid::bounds::1, string, 801B6675726E69747572652D6E65737465642E73686F7049642D363737
furniture::shop::nested.shopid::bounds::2, string, 801B6675726E69747572652D6E65737465642E73686F7049642D333737
furniture::shop::nested.shopid::item::nested.shopid.items.nested.yeahid::itemid, string, 80176E65737465642E6675726E69747572652E746573744964
furniture::shop::nested.shopid::items::1, string, 80216E65737465642E73686F7049642E6974656D732E6E65737465642E796561684964

